Restaurant_Name,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8,Category,Pricing_for_2,Locality in Pune,Dining_Rating
Santè Spa Cuisine,European,Healthy Food,Mediterranean,MISSING,MISSING,MISSING,MISSING,MISSING,"Continental, Healthy Food, Mediterranean",1200, Koregaon Park,4.9
Le Plaisir,Coffee and Tea,European,European,Healthy Food,Sandwich,Other Indian,Beverages,MISSING,"Cafe, Italian, Continental, Salad, Sandwich, Pizza, Beverages",1000, Deccan Gymkhana,4.9
Gong,East Asian,East Asian,Asian (unspecified),Himalayan,Beverages,MISSING,MISSING,MISSING,"Chinese, Sushi, Asian, Momos, Beverages",1700, Baner,4.9
The French Window Patisserie,Coffee and Tea,Desserts,European,Bakery,European,MISSING,MISSING,MISSING,"Cafe, Desserts, French, Bakery, European",600, Koregaon Park,4.9
Savya Rasa,South Indian,South Indian,South Indian,South Indian,Beverages,MISSING,MISSING,MISSING,"South Indian, Mangalorean, Kerala, Chettinad, Beverages",2100, Koregaon Park,4.9
Le Flamington,Coffee and Tea,European,Fast Food,Bakery,Desserts,MISSING,MISSING,MISSING,"Cafe, European, Fast Food, Bakery, Desserts",600,Kalyani Nagar,4.9
Pagdandi Books Chai Cafe,Coffee and Tea,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, Fast Food, Beverages",400, Baner,4.9
Paasha - JW Marriott Pune,North Indian,Kebab,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Kebab, Desserts",2500, Senapati Bapat Road,4.8
Cafe Paashh,Coffee and Tea,European,Indian (other),Desserts,Beverages,MISSING,MISSING,MISSING,"Cafe, European, Modern Indian, Desserts, Beverages",1500,Kalyani Nagar,4.8
Boteco - Restaurante Brasileiro,The Americas,Steak,The Americas,Beverages,MISSING,MISSING,MISSING,MISSING,"Brazilian, Steak, South American, Beverages",2300, Koregaon Park,4.8
Level 5 Bistro and Bar,North Indian,Asian (unspecified),Healthy Food,Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Asian, Salad, Beverages",1600, Erandwane,4.8
Vohuman Cafe,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Beverages",200,Dhole Patil Road,4.8
Andaground,Fast Food,Street Food,North Indian,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food, North Indian, Beverages",600, Aundh,4.8
Cafe Goa,North Indian,Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Goan, Seafood",1100, Viman Nagar,4.8
Malaka Spice,Southeast Asian,East Asian,Asian (unspecified),MISSING,MISSING,MISSING,MISSING,MISSING,"Thai, Japanese, Asian",1500, Koregaon Park,4.7
AB's - Absolute Barbecues,North Indian,BBQ,Fast Food,Desserts,MISSING,MISSING,MISSING,MISSING,"North Indian, BBQ, Fast Food, Desserts",1200,Hinjawadi,4.7
Turque - Sayaji Hotel,Asian (unspecified),Indian (other),North Indian,Healthy Food,MISSING,MISSING,MISSING,MISSING,"Asian, Mughlai, North Indian, Salad",1700, Wakad,4.7
Effingut,North Indian,European,Oriental,Finger Food,Fast Food,Beverages,MISSING,MISSING,"North Indian, Continental, Oriental, Finger Food, Fast Food, Beverages",2000, Koregaon Park,4.7
Le Petit Amour Patisserie & Bistro,Coffee and Tea,European,European,Desserts,Healthy Food,Beverages,Coffee,MISSING,"Cafe, French, European, Desserts, Salad, Beverages, Coffee",800, Kothrud,4.7
Pune Baking Company - JW Marriott Pune,Coffee and Tea,Sandwich,Beverages,Desserts,MISSING,MISSING,MISSING,MISSING,"Cafe, Sandwich, Beverages, Desserts",700, Senapati Bapat Road,4.7
Shiv Kailash,Indian (other),Ice Cream,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Mithai, Ice Cream, Beverages",300, Camp Area,4.7
L'Apicio,Coffee and Tea,European,Mediterranean,European,Desserts,MISSING,MISSING,MISSING,"Cafe, European, Mediterranean, Continental, Desserts",1000, Aundh,4.7
Shahji's Parantha House,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,500, Rasta Peth,4.7
Chitale Bandhu Mithaiwale,Indian (other),Street Food,Ice Cream,Desserts,MISSING,MISSING,MISSING,MISSING,"Mithai, Street Food, Ice Cream, Desserts",300, Deccan Gymkhana,4.7
Autobahn - The Smart Restaurant,North Indian,North Indian,South Indian,Beverages,Desserts,European,MISSING,MISSING,"North Indian, Goan, Chettinad, Beverages, Desserts, Italian",1300, Viman Nagar,4.7
Starbucks Coffee,Coffee and Tea,Coffee and Tea,Desserts,Coffee and Tea,MISSING,MISSING,MISSING,MISSING,"Cafe, Coffee, Desserts, Tea",700, Koregaon Park,4.7
Toit,Indian (other),The Americas,European,Pizza,MISSING,MISSING,MISSING,MISSING,"Modern Indian, American, Italian, Pizza",1500,Kalyani Nagar,4.6
Barometer,European,Asian (unspecified),North Indian,Finger Food,MISSING,MISSING,MISSING,MISSING,"Continental, Asian, North Indian, Finger Food",1500, Kothrud,4.6
The Barkhana,Bar Food,Indian (other),East Asian,North Indian,Fast Food,Desserts,Beverages,MISSING,"Bar Food, Mughlai, Chinese, North Indian, Fast Food, Desserts, Beverages",1700, Wakad,4.6
The Sassy Spoon,European,European,The Americas,Fast Food,Asian (unspecified),MISSING,MISSING,MISSING,"European, Continental, American, Fast Food, Asian",1600, Koregaon Park,4.6
The Urban Foundry,Bar Food,North Indian,East Asian,Fast Food,Desserts,Beverages,MISSING,MISSING,"Bar Food, North Indian, Chinese, Fast Food, Desserts, Beverages",2200, Baner,4.6
Hotel Jagdamba,North Indian,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Malwani",600, Shivapur,4.6
Laa Unico,European,The Americas,European,Indian (other),Beverages,MISSING,MISSING,MISSING,"Italian, Mexican, Continental, Modern Indian, Beverages",1500,Swargate,4.6
Darshan,European,European,East Asian,The Americas,Fast Food,Street Food,Desserts,Sandwich,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts, Sandwich",800, Baner,4.6
Independence Brewing Company,Bar Food,North Indian,European,Desserts,Beverages,Fast Food,MISSING,MISSING,"Bar Food, North Indian, Continental, Desserts, Beverages, Fast Food",2200, Mundhwa,4.6
Arthur's Theme,European,European,Fast Food,Seafood,MISSING,MISSING,MISSING,MISSING,"European, Italian, Fast Food, Seafood",1500, Koregaon Park,4.6
Asia Kitchen By Mainland China,East Asian,Asian (unspecified),East Asian,Beverages,MISSING,MISSING,MISSING,MISSING,"Chinese, Asian, Sushi, Beverages",1200,Dhole Patil Road,4.6
Maharaja Bhog,North Indian,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Gujarati, Rajasthani",1200, Senapati Bapat Road,4.6
Shizusan,East Asian,East Asian,Asian (unspecified),Southeast Asian,Beverages,MISSING,MISSING,MISSING,"Japanese, Chinese, Asian, Thai, Beverages",1600, Viman Nagar,4.6
Mughal Mahal,North Indian,Indian (other),Indian (other),Oriental,MISSING,MISSING,MISSING,MISSING,"North Indian, Mughlai, Biryani, Chinese",1500,Hinjawadi,4.6
Onesta,Pizza,Fast Food,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food, Desserts, Beverages",700,Kalyani Nagar,4.6
Sentosa MultiCuisine Restaurant,North Indian,East Asian,Indian (other),European,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Continental",1400, Ravet,4.6
Alto Vino - JW Marriott Pune,European,Healthy Food,Beverages,European,MISSING,MISSING,MISSING,MISSING,"Italian, Salad, Beverages, Continental",3000, Senapati Bapat Road,4.6
Aaoji Khhaoji,North Indian,Fast Food,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Desserts, Beverages",800, Khadki,4.6
Forennte,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",200, Koregaon Park,4.6
The Mighty Crust Pizzeria,Pizza,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Pizza,600, Pimple Nilakh,4.6
Chaats And Wraps,North Indian,Street Food,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Street Food, Fast Food",600, Viman Nagar,4.6
LKD | La Kheer Deli,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Desserts,200, JM Road,4.6
Cream Stone,Ice Cream,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Desserts, Beverages",400, Baner,4.6
The Daily All Day,European,Asian (unspecified),European,European,Beverages,MISSING,MISSING,MISSING,"European, Asian, Continental, Italian, Beverages",2000, Koregaon Park,4.5
Elephant & Co.,European,Indian (other),Asian (unspecified),European,Quick eats,Beverages,MISSING,MISSING,"Continental, Modern Indian, Asian, Italian, Finger Food, Beverages",1500,Kalyani Nagar,4.5
Vaishali,South Indian,Street Food,Fast Food,Beverages,Desserts,MISSING,MISSING,MISSING,"South Indian, Street Food, Fast Food, Beverages, Desserts",500,FC Road,4.5
Barbeque Nation,North Indian,Indian (other),Healthy Food,Kebab,BBQ,MISSING,MISSING,MISSING,"North Indian, Mughlai, Salad, Kebab, BBQ",1700, JM Road,4.5
Hippie@Heart,European,European,North Indian,Finger Food,European,Beverages,Desserts,MISSING,"Continental, Italian, North Indian, Finger Food, European, Beverages, Desserts",1300, Deccan Gymkhana,4.5
Babylon Craft Brewery,North Indian,East Asian,European,Indian (other),Asian (unspecified),European,Beverages,Desserts,"North Indian, Chinese, Continental, Mughlai, Asian, Italian, Beverages, Desserts",1200, Erandwane,4.5
La Gustosa,European,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Italian,1200, Kothrud,4.5
Spice Kitchen - JW Marriott Pune,European,Asian (unspecified),North Indian,South Indian,European,MISSING,MISSING,MISSING,"Italian, Asian, North Indian, South Indian, European",2200, Senapati Bapat Road,4.5
Kargo,Asian (unspecified),European,North Indian,Beverages,European,MISSING,MISSING,MISSING,"Asian, Continental, North Indian, Beverages, European",1200, Koregaon Park,4.5
Yeti And The Monk,Himalayan,Southeast Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Tibetan, Vietnamese",600, Khadki,4.5
Anna Idli,South Indian,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, Beverages",350, Baner,4.5
Portico - Sayaji Hotel,North Indian,Asian (unspecified),Fast Food,Healthy Food,Beverages,MISSING,MISSING,MISSING,"North Indian, Asian, Fast Food, Salad, Beverages",1400, Wakad,4.5
1441 Pizzeria,European,Pizza,Pasta,Fast Food,Desserts,Beverages,MISSING,MISSING,"Italian, Pizza, Pasta, Fast Food, Desserts, Beverages",1000, Koregaon Park,4.5
Le Stone,North Indian,European,Kebab,Pizza,East Asian,MISSING,MISSING,MISSING,"North Indian, Continental, Kebab, Pizza, Chinese",1500, Ravet,4.5
Mainland China,Asian (unspecified),East Asian,Oriental,Beverages,MISSING,MISSING,MISSING,MISSING,"Asian, Chinese, Oriental, Beverages",1800, Senapati Bapat Road,4.5
Yin Yang,Southeast Asian,Southeast Asian,East Asian,Southeast Asian,Southeast Asian,Chinese,MISSING,MISSING,"Thai, Malaysian, Japanese, Burmese, Indonesian, Chinese",1200, Kothrud,4.5
Blue Water,North Indian,East Asian,European,Desserts,European,Other Indian,Healthy Food,MISSING,"North Indian, Chinese, Continental, Desserts, Italian, Pizza, Salad",1800, Ravet,4.5
Surve's Pure Non-Veg,North Indian,Fast Food,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Fast Food, Desserts",550,FC Road,4.5
Baan Tao - Hyatt Pune,East Asian,Southeast Asian,Southeast Asian,Southeast Asian,Asian (unspecified),Healthy Food,MISSING,MISSING,"Chinese, Thai, Vietnamese, Malaysian, Asian, Salad",3000,Nagar Road,4.5
Little Italy,European,Pizza,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Italian, Pizza, Beverages",1500, Shivaji Nagar,4.5
Greens & Olives,European,North Indian,Healthy Food,Healthy Food,MISSING,MISSING,MISSING,MISSING,"Italian, North Indian, Salad, Healthy Food",1400, Aundh,4.5
Zeta - Hyatt Regency Pune,Asian (unspecified),European,European,North Indian,Beverages,Desserts,MISSING,MISSING,"Asian, Continental, Italian, North Indian, Beverages, Desserts",2500,Nagar Road,4.5
Arkie's Born Bakers,Bakery,Fast Food,Coffee and Tea,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Fast Food, Cafe",550, Bibvewadi,4.5
Viman Nagar Social,North Indian,East Asian,Burger,Rolls,East Asian,Himalayan,European,Beverages,"North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages",1500, Viman Nagar,4.5
Nisarg,East Asian,North Indian,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Beverages",1300, Erandwane,4.5
Flechazo,Asian (unspecified),Mediterranean,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Asian, Mediterranean, North Indian",1400, Wakad,4.5
Momo's Corrner,Himalayan,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Momos, Beverages",300, Koregaon Park,4.5
Mohan Ice Cream,Ice Cream,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Desserts",100, JM Road,4.5
Cake Dior,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",600, Koregaon Park,4.5
The Blue Plate,European,European,Healthy Food,Desserts,Beverages,MISSING,MISSING,MISSING,"Continental, Italian, Salad, Desserts, Beverages",700, Aundh,4.5
Fish Curry Rice,North Indian,North Indian,North Indian,Seafood,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Goan, Malwani, Seafood",1200, Kothrud,4.5
Crazy Cheesy,Coffee and Tea,Fast Food,Sandwich,Indian (other),East Asian,Desserts,Beverages,MISSING,"Cafe, Fast Food, Sandwich, Pasta, Pizza, Desserts, Beverages",700, Sadashiv Peth,4.5
The Crunch Affair,Coffee and Tea,European,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, European, Desserts",500, Viman Nagar,4.5
Maratha Samrat,North Indian,Indian (other),North Indian,Seafood,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Biryani, North Indian, Seafood",1100, Kothrud,4.5
The Irani Cafe,Fast Food,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food, Beverages",300, Viman Nagar,4.5
The Ganache,Coffee and Tea,Beverages,Desserts,Fast Food,MISSING,MISSING,MISSING,MISSING,"Cafe, Beverages, Desserts, Fast Food",700, Kothrud,4.5
Oriental Connexions,East Asian,Southeast Asian,Southeast Asian,Seafood,MISSING,MISSING,MISSING,MISSING,"Chinese, Malaysian, Thai, Seafood",1200, Shivaji Nagar,4.5
Dorje & The Bell,East Asian,Asian (unspecified),East Asian,Fast Food,MISSING,MISSING,MISSING,MISSING,"Japanese, Asian, Korean, Fast Food",550, Pimple Nilakh,4.5
Mr Rabbit's Bar & Burrow,Quick eats,European,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Finger Food, Continental, Fast Food, Beverages",1900, Baner,4.5
Sujata Mastani,Ice Cream,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Desserts, Beverages",300, Sadashiv Peth,4.5
Rosso Bianco,European,Coffee and Tea,Healthy Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Italian, Cafe, Salad, Beverages",900, Khadki,4.5
Coconut Tree Bar & Kitchen By Coconut Grove,South Indian,Seafood,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"Mangalorean, Seafood, Mughlai",1300,Magarpatta,4.5
Baker's Hut,Bakery,Desserts,Fast Food,Oriental,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts, Fast Food, Chinese",300, Nigdi,4.5
"I'm Lion, Strictly Non-Veg",South Indian,North Indian,Seafood,Indian (other),MISSING,MISSING,MISSING,MISSING,"Mangalorean, Goan, Seafood, Konkan",800, Bavdhan,4.5
Exotica,North Indian,East Asian,Beverages,Desserts,Kebab,Fast Food,MISSING,MISSING,"North Indian, Chinese, Beverages, Desserts, Kebab, Fast Food",1400, Yerawada,4.4
Burger,Burger,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Burger, Fast Food",250, East Street,4.4
Tales & Spirits,European,European,Healthy Food,Bar Food,MISSING,MISSING,MISSING,MISSING,"Italian, Continental, Salad, Bar Food",1500, Senapati Bapat Road,4.4
Sukanta,North Indian,North Indian,North Indian,Desserts,MISSING,MISSING,MISSING,MISSING,"Gujarati, North Indian, Maharashtrian, Desserts",700, Deccan Gymkhana,4.4
The Ruby Hilltop - Sunny's World,North Indian,East Asian,European,European,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Italian, Continental",1300, Wakad,4.4
Yana Sizzlers & Wok,East Asian,Seafood,The Americas,BBQ,Beverages,MISSING,MISSING,MISSING,"Chinese, Seafood, Jamaican, BBQ, Beverages",1500,FC Road,4.4
Coriander Kitchen - Conrad Pune,North Indian,Asian (unspecified),Mediterranean,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Asian, Mediterranean",3600,Bund Garden Road,4.4
The Linkin Barrel,European,Indian (other),European,North Indian,MISSING,MISSING,MISSING,MISSING,"Continental, Modern Indian, Italian, North Indian",1300, Pashan,4.4
Moshi Moshi,Asian (unspecified),East Asian,Southeast Asian,Oriental,East Asian,MISSING,MISSING,MISSING,"Asian, Chinese, Thai, Japanese, Sushi",1500, Koregaon Park,4.4
High Spirits,North Indian,Fast Food,Beverages,Desserts,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Beverages, Desserts",1800, Mundhwa,4.4
Tatva The Vegetarian Kitchen,North Indian,East Asian,European,South Indian,Fast Food,Street Food,Beverages,MISSING,"North Indian, Chinese, Continental, South Indian, Fast Food, Street Food, Beverages",800, Wakad,4.4
Squisito,European,The Americas,Healthy Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Italian, Mexican, Salad, Beverages",1500, Koregaon Park,4.4
Barbeque Ville,North Indian,BBQ,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, BBQ, Beverages",1000, Wakad,4.4
Mocha,Coffee and Tea,European,European,Healthy Food,Asian (unspecified),Desserts,MISSING,MISSING,"Cafe, Continental, European, Salad, Asian, Desserts",1000, Koregaon Park,4.4
FML - Food Music Love,North Indian,Indian (other),East Asian,Fast Food,Kebab,Desserts,MISSING,MISSING,"North Indian, Mughlai, Chinese, Fast Food, Kebab, Desserts",1600,Kalyani Nagar,4.4
RocoMamas,The Americas,Burger,Beverages,Seafood,The Americas,MISSING,MISSING,MISSING,"American, Burger, Beverages, Seafood, Mexican",1200, Kharadi,4.4
The Deccan Bid Capital,Asian (unspecified),European,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Asian, Continental, North Indian",1200, Shivaji Nagar,4.4
Planet 9,North Indian,Indian (other),Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Mughlai, Biryani",1800, Bavdhan,4.4
Senses - Marriott Suites Pune,European,Asian (unspecified),North Indian,European,Fast Food,Desserts,Beverages,MISSING,"Continental, Asian, North Indian, Italian, Fast Food, Desserts, Beverages",2100, Koregaon Park,4.4
Parsi Dhaba,Middle Eastern,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Parsi, North Indian",1600, Lonavala,4.4
Kerala Cafe,South Indian,South Indian,Seafood,Indian (other),Desserts,Beverages,MISSING,MISSING,"Kerala, South Indian, Seafood, Biryani, Desserts, Beverages",1000,Kalyani Nagar,4.4
Desi Dhaba,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,300,Hinjawadi,4.4
BarBerry,North Indian,European,Quick eats,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Continental, Finger Food",1200, Kothrud,4.4
Ram Krishna,South Indian,Street Food,Fast Food,North Indian,East Asian,Beverages,MISSING,MISSING,"South Indian, Street Food, Fast Food, North Indian, Chinese, Beverages",700, Camp Area,4.4
Mineority By Saby,North Indian,East Asian,European,Asian,Desserts,MISSING,MISSING,MISSING,"North Indian, Chinese, Continental, Asian, Desserts",2000,Kalyani Nagar,4.4
Cafe Goodluck,North Indian,Indian (other),North Indian,Indian (other),Desserts,MISSING,MISSING,MISSING,"North Indian, Mughlai, Maharashtrian, Biryani, Desserts",800, Deccan Gymkhana,4.4
Huber & Holly,Ice Cream,Desserts,Bakery,Pizza,European,Beverages,MISSING,MISSING,"Ice Cream, Desserts, Bakery, Pizza, Italian, Beverages",500, Koregaon Park,4.4
Two Sticks,East Asian,Asian (unspecified),East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Asian, Japanese",800, Balewadi,4.4
1000 Oaks,North Indian,Indian (other),Seafood,Bar Food,MISSING,MISSING,MISSING,MISSING,"North Indian, Mughlai, Seafood, Bar Food",1500, East Street,4.4
Lonavla Restaurant & Bar- Hotel Lonavla,North Indian,East Asian,Indian (other),Kebab,Rajasthani,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Kebab, Maharashtrian",1100, Lonavala,4.4
Shabree Restaurant,North Indian,South Indian,Fast Food,North Indian,East Asian,MISSING,MISSING,MISSING,"Maharashtrian, South Indian, Fast Food, North Indian, Chinese",800,FC Road,4.4
Brasserie Cinq,European,European,European,Desserts,MISSING,MISSING,MISSING,MISSING,"French, European, Continental, Desserts",1000, Koregaon Park,4.4
Ahilyadevi's Thali,North Indian,North Indian,Indian (other),Beverages,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Biryani, Beverages",1200, Katraj,4.4
Baba Ramdev Dhaba,North Indian,North Indian,East Asian,North Indian,Indian (other),MISSING,MISSING,MISSING,"North Indian, Rajasthani, Chinese, Maharashtrian, Mithai",500, Nigdi,4.4
Shakahari - JW Marriott Pune,North Indian,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Rajasthani, Gujarati, North Indian",2500, Senapati Bapat Road,4.4
Cafe 24,European,European,European,North Indian,Asian (unspecified),Beverages,Desserts,MISSING,"Continental, European, Italian, North Indian, Asian, Beverages, Desserts",2200, Lonavala,4.4
Largo Pizzeria,Pizza,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food, Beverages",600, Viman Nagar,4.4
The 1st Brewhouse - The Corinthians,Quick eats,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Finger Food, North Indian",2000, Kondhawa,4.4
Shisha Jazz Cafe,Middle Eastern,North Indian,European,Fast Food,MISSING,MISSING,MISSING,MISSING,"Iranian, North Indian, Continental, Fast Food",2000, Mundhwa,4.4
Idlicious,South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,South Indian,250, Baner,4.4
Origin Bistro,European,European,European,Beverages,Desserts,MISSING,MISSING,MISSING,"Continental, Italian, European, Beverages, Desserts",1200, Pashan,4.4
Taaareef,Indian (other),North Indian,Indian (other),North Indian,Rajasthani,Beverages,MISSING,MISSING,"Biryani, North Indian, Mughlai, Lucknowi, Maharashtrian, Beverages",1200, Aundh,4.4
BMG - Unplugged,European,North Indian,European,Oriental,MISSING,MISSING,MISSING,MISSING,"Continental, North Indian, Italian, Chinese",1500, Hadapsar,4.4
Feast - Sheraton Grand,North Indian,Asian (unspecified),European,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Asian, European",3000,Bund Garden Road,4.4
Kimchi,East Asian,Southeast Asian,Asian (unspecified),Seafood,Beverages,MISSING,MISSING,MISSING,"Chinese, Thai, Asian, Seafood, Beverages",600, Kharadi,4.4
Hotel Chandralok,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Gujarati,600, Lonavala,4.4
Polka Dots,Mediterranean,North Indian,East Asian,Beverages,Desserts,MISSING,MISSING,MISSING,"Mediterranean, North Indian, Chinese, Beverages, Desserts",1400, Aundh,4.4
Where Else Diner,Coffee and Tea,European,The Americas,Middle Eastern,Healthy Food,Burger,Beverages,MISSING,"Cafe, Continental, American, Parsi, Salad, Burger, Beverages",800, Viman Nagar,4.4
Gourmand Food Truck,Pizza,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food",450, Senapati Bapat Road,4.4
Agent Jack's,Quick eats,European,North Indian,European,Asian (unspecified),Desserts,MISSING,MISSING,"Finger Food, Continental, North Indian, Italian, Asian, Desserts",1500, Hadapsar,4.4
Crazy Noodles,East Asian,Southeast Asian,East Asian,Healthy Food,Beverages,MISSING,MISSING,MISSING,"Chinese, Thai, Japanese, Salad, Beverages",1400, Viman Nagar,4.4
Falahaar,Fast Food,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Desserts, Beverages",600, Viman Nagar,4.4
Baraza Bars & Bites,North Indian,Kebab,Indian (other),Oriental,European,Fast Food,Indian (other),MISSING,"North Indian, Kebab, Biryani, Chinese, Continental, Fast Food, Mughlai",1800, Yerawada,4.4
Celebrations The Cake Shop,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",300, Wakad,4.4
China Grill,East Asian,Asian (unspecified),North Indian,Indian (other),Seafood,MISSING,MISSING,MISSING,"Chinese, Asian, North Indian, Mughlai, Seafood",1200, Viman Nagar,4.4
Dhaba - Estd 1986 Delhi,Indian (other),Indian (other),North Indian,Desserts,Beverages,MISSING,MISSING,MISSING,"Mughlai, Biryani, North Indian, Desserts, Beverages",2000, Senapati Bapat Road,4.4
Natural Ice Cream,Desserts,Ice Cream,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Ice Cream, Beverages",300, Koregaon Park,4.4
Rajmandir Ice Cream,Desserts,Ice Cream,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Ice Cream, Beverages",250, Kothrud,4.4
Wafflin' Around,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Beverages",300, Aundh,4.4
Overloaded,Fast Food,Beverages,Indian (other),Sandwich,Rajasthani,MISSING,MISSING,MISSING,"Fast Food, Beverages, Pizza, Sandwich, North Indian",550, Wakad,4.4
I Amsterdam,Asian (unspecified),European,Indian (other),European,MISSING,MISSING,MISSING,MISSING,"Asian, European, Modern Indian, Italian",1400,Hinjawadi,4.3
Prem's,North Indian,East Asian,European,Asian,Desserts,Beverages,MISSING,MISSING,"North Indian, Chinese, Continental, Asian, Desserts, Beverages",1300, Koregaon Park,4.3
Beetroot Bistro,European,European,Asian (unspecified),Pizza,East Asian,Southeast Asian,Coffee,Tea,"Italian, Continental, Asian, Pizza, Chinese, Thai, Coffee, Tea",1300, Koregaon Park,4.3
Levitate - Roof Kitchen & Brewery,European,Asian (unspecified),North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Continental, Asian, North Indian",1500,NIBM Road,4.3
Murphies,European,Healthy Food,Quick eats,European,East Asian,Steak,Beverages,MISSING,"European, Healthy Food, Finger Food, Continental, Oriental, Steak, Beverages",1700, Koregaon Park,4.3
Copa Cabana,North Indian,European,Asian (unspecified),European,Healthy Food,Indian (other),Sandwich,Burger,"North Indian, Continental, Asian, Italian, Salad, Biryani, Sandwich, Burger",1600, Pimple Nilakh,4.3
द Vege टेबल,North Indian,European,European,Indian (other),Desserts,Beverages,MISSING,MISSING,"North Indian, Continental, Italian, Mughlai, Desserts, Beverages",700, Deccan Gymkhana,4.3
