Restaurant_Name,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8,Category,Pricing_for_2,Locality in Pune,Dining_Rating
Nakshatra Pure Veg,North Indian,South Indian,Fast Food,Oriental,Desserts,Beverages,MISSING,MISSING,"North Indian, South Indian, Fast Food, Chinese, Desserts, Beverages",800,Pimple Saudagar,3.7
Jazz Pizza,Pizza,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food",650,NIBM Road,3.7
Sukhi Da Dhaba,North Indian,Asian (unspecified),Indian (other),Indian (other),MISSING,MISSING,MISSING,MISSING,"North Indian, Asian, Mughlai, Biryani",1700, Wakad,3.6
Gandharv Restaurant,North Indian,South Indian,East Asian,Fast Food,Street Food,Desserts,Beverages,MISSING,"North Indian, South Indian, Chinese, Fast Food, Street Food, Desserts, Beverages",650, JM Road,3.6
Bottle Baash Gastro Bar,Bar Food,Pizza,Fast Food,Oriental,Rajasthani,Beverages,MISSING,MISSING,"Bar Food, Pizza, Fast Food, Chinese, North Indian, Beverages",1200, Viman Nagar,3.6
Meltish - The Cheese Cafe,Healthy Food,European,Indian (other),Desserts,Burger,European,European,MISSING,"Salad, Continental, Pizza, Desserts, Burger, European, Italian",1000, Aundh,3.6
The Verandah,Coffee and Tea,Fast Food,South Indian,Beverages,MISSING,MISSING,MISSING,MISSING,"Cafe, Fast Food, South Indian, Beverages",550, Erandwane,3.6
Gajamukham Pure Veg Restaurant,North Indian,East Asian,Fast Food,Desserts,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Fast Food, Desserts",700, Hadapsar,3.6
Bottle Forest,North Indian,European,Asian (unspecified),MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Continental, Asian",1300, Mundhwa,3.6
The Cult - House,Indian (other),European,East Asian,Finger Food,Asian (unspecified),Bar Food,MISSING,MISSING,"Modern Indian, Continental, Sushi, Finger Food, Asian, Bar Food",2000,Magarpatta,3.6
Hotel Banjara Spice,East Asian,North Indian,Indian (other),Indian (other),Street Food,Beverages,MISSING,MISSING,"Chinese, North Indian, Mughlai, Biryani, Street Food, Beverages",750, Aundh,3.6
Ishan Pure Veg,North Indian,South Indian,East Asian,Fast Food,Juices,Beverages,MISSING,MISSING,"North Indian, South Indian, Chinese, Fast Food, Juices, Beverages",500, Shivaji Nagar,3.6
Hungrezy,Asian (unspecified),Fast Food,Burger,Wraps,Sandwich,Beverages,MISSING,MISSING,"Asian, Fast Food, Burger, Wraps, Sandwich, Beverages",600, Koregaon Park,3.6
Fusion Bistro & Grill,North Indian,East Asian,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Fast Food",750,NIBM Road,3.6
The Bombay Bunglow,North Indian,European,Indian (other),Kebab,Desserts,MISSING,MISSING,MISSING,"North Indian, Continental, Biryani, Kebab, Desserts",1200,Kalyani Nagar,3.6
Kinara's Maratha Darbar,North Indian,East Asian,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Chinese, North Indian, Biryani",800, Kothrud,3.6
Chawadi Grand,East Asian,North Indian,North Indian,Desserts,Beverages,Indian (other),Kebab,MISSING,"Chinese, North Indian, Malwani, Desserts, Beverages, Mughlai, Kebab",900, Chinchwad,3.6
Madhuban,North Indian,South Indian,Fast Food,Oriental,Ice Cream,Desserts,Beverages,Sandwich,"North Indian, South Indian, Fast Food, Chinese, Ice Cream, Desserts, Beverages, Sandwich",600,Dhole Patil Road,3.6
Cuk Nuk 24,Street Food,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Fast Food",500, Karve Nagar,3.6
Sadda Punjab,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Mughlai",500, Kharadi,3.6
Prantha-House,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian",150, Pimple Gurav,3.6
Royal Kitchen,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,200, Vishrantwadi,3.6
Tiwary Ji,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Bihari",200, Wakad,3.6
Hotel Garwa,North Indian,East Asian,North Indian,Rolls,Kebab,Indian (other),MISSING,MISSING,"North Indian, Chinese, Maharashtrian, Rolls, Kebab, Mughlai",600, Hadapsar,3.6
Biggies Burger,Burger,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Burger, Fast Food, Beverages",500, Kothrud,3.6
Nashtaram,South Indian,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, Maharashtrian",300, Aundh,3.6
